Performed by,Date/Time,Transducer SN,Transducer Span,Transducer PPR,Reading Number,Primary result,Secondary result,Duration,Direction,Reading Comment,Job type,Job name,Job Description,Torque Units,Subgroup number,Torque Threshold,Torque LSL,Torque LCL,Torque Target,Torque UCL,Torque USL,Angle Threshold,Angle LSL,Angle LCL,Angle Target,Angle UCL,Angle USL
 ,01/07/2018 17:00:18,85695,50.000000,0,2,79.11,0.0,30.072,0,,PEAK,,,lbin,1,3.00,4.20,44.20,61.30,442.50,142.50,22.10,0.0,0.0,25.0,50.0,50.0
Time,Torque
0.000,3.24,,
0.001,2.81,,
0.002,3.43,,
0.003,3.75,,
0.004,3.40,,
0.005,3.59,,
0.006,4.00,,
0.007,3.35,,
0.008,3.65,,
0.009,3.92,,
0.010,3.51,,
0.011,3.59,,
0.012,3.54,,
0.013,3.05,,
0.014,3.16,,
0.015,3.27,,
0.016,3.03,,
0.017,3.11,,
0.018,2.89,,
0.019,2.73,,
0.020,3.08,,
0.021,2.48,,
0.022,2.46,,
0.023,2.76,,
0.024,2.57,,
0.025,2.54,,
0.026,2.73,,
0.027,3.27,,
0.028,2.84,,
0.029,3.08,,
0.030,3.03,,
0.031,2.81,,
0.032,4.19,,
0.033,3.78,,
0.034,3.73,,
0.035,4.05,,
0.036,4.54,,
0.037,4.59,,
0.038,4.70,,
0.039,4.73,,
0.040,4.62,,
0.041,5.21,,
0.042,5.02,,
0.043,5.10,,
0.044,5.21,,
0.045,5.13,,
0.046,5.13,,
0.047,5.43,,
0.048,5.19,,
0.049,5.19,,
0.050,5.08,,
0.051,4.46,,
0.052,4.48,,
0.053,5.02,,
0.054,4.54,,
0.055,4.59,,
0.056,4.81,,
0.057,4.32,,
0.058,4.70,,
0.059,4.81,,
0.060,4.43,,
0.061,4.40,,
0.062,4.81,,
0.063,4.67,,
0.064,4.67,,
0.065,5.32,,
0.066,4.94,,
0.067,5.29,,
0.068,5.21,,
0.069,5.40,,
0.070,5.56,,
0.071,5.65,,
0.072,5.24,,
0.073,5.35,,
0.074,6.51,,
0.075,6.10,,
0.076,6.19,,
0.077,6.62,,
0.078,7.00,,
0.079,6.56,,
0.080,6.83,,
0.081,6.91,,
0.082,6.97,,
0.083,7.00,,
0.084,7.13,,
0.085,7.24,,
0.086,6.83,,
0.087,6.81,,
0.088,6.59,,
0.089,6.27,,
0.090,6.27,,
0.091,6.86,,
0.092,6.21,,
0.093,6.78,,
0.094,6.05,,
0.095,4.97,,
0.096,4.92,,
0.097,6.46,,
0.098,7.13,,
0.099,5.86,,
0.100,6.70,,
0.101,6.70,,
0.102,6.29,,
0.103,6.94,,
0.104,6.86,,
0.105,6.81,,
0.106,7.05,,
0.107,7.56,,
0.108,7.56,,
0.109,7.89,,
0.110,7.81,,
0.111,7.27,,
0.112,7.97,,
0.113,8.54,,
0.114,7.89,,
0.115,8.13,,
0.116,8.81,,
0.117,8.35,,
0.118,8.37,,
0.119,8.78,,
0.120,8.54,,
0.121,8.75,,
0.122,9.08,,
0.123,9.26,,
0.124,9.05,,
0.125,8.94,,
0.126,8.21,,
0.127,8.67,,
0.128,9.02,,
0.129,8.24,,
0.130,8.81,,
0.131,8.94,,
0.132,8.43,,
0.133,8.81,,
0.134,8.56,,
0.135,8.56,,
0.136,8.45,,
0.137,8.10,,
0.138,8.05,,
0.139,8.37,,
0.140,8.43,,
0.141,8.40,,
0.142,8.94,,
0.143,9.35,,
0.144,8.91,,
0.145,8.99,,
0.146,9.83,,
0.147,9.16,,
0.148,9.43,,
0.149,8.91,,
0.150,8.91,,
0.151,9.94,,
0.152,9.72,,
0.153,9.56,,
0.154,10.02,,
0.155,10.26,,
0.156,9.89,,
0.157,9.75,,
0.158,10.64,,
0.159,9.94,,
0.160,9.83,,
0.161,10.70,,
0.162,10.07,,
0.163,9.86,,
0.164,10.16,,
0.165,9.91,,
0.166,9.40,,
0.167,10.16,,
0.168,9.67,,
0.169,9.53,,
0.170,9.64,,
0.171,9.94,,
0.172,9.18,,
0.173,9.18,,
0.174,9.45,,
0.175,8.62,,
0.176,8.59,,
0.177,9.18,,
0.178,8.75,,
0.179,8.94,,
0.180,9.56,,
0.181,8.99,,
0.182,9.45,,
0.183,9.83,,
0.184,9.97,,
0.185,9.97,,
0.186,10.34,,
0.187,10.75,,
0.188,10.26,,
0.189,10.45,,
0.190,11.24,,
0.191,10.45,,
0.192,10.70,,
0.193,10.86,,
0.194,11.07,,
0.195,11.05,,
0.196,10.86,,
0.197,11.16,,
0.198,11.59,,
0.199,11.64,,
0.200,11.99,,
0.201,12.02,,
0.202,12.34,,
0.203,13.67,,
0.204,13.86,,
0.205,14.07,,
0.206,14.88,,
0.207,15.10,,
0.208,14.59,,
0.209,12.80,,
0.210,12.72,,
0.211,11.83,,
0.212,11.45,,
0.213,12.51,,
0.214,12.02,,
0.215,12.59,,
0.216,13.05,,
0.217,13.13,,
0.218,12.78,,
0.219,13.05,,
0.220,13.29,,
0.221,13.40,,
0.222,12.64,,
0.223,12.53,,
0.224,14.13,,
0.225,14.61,,
0.226,14.91,,
0.227,17.66,,
0.228,18.66,,
0.229,16.42,,
0.230,15.31,,
0.231,15.31,,
0.232,17.04,,
0.233,17.58,,
0.234,17.66,,
0.235,19.37,,
0.236,19.10,,
0.237,20.28,,
0.238,18.75,,
0.239,16.99,,
0.240,17.61,,
0.241,16.56,,
0.242,16.45,,
0.243,15.72,,
0.244,14.10,,
0.245,13.83,,
0.246,14.56,,
0.247,19.61,,
0.248,22.88,,
0.249,19.56,,
0.250,17.72,,
